name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24
Alpine,9.5,8.9,8.3,7.7,7.9,8.1,8.3,7.7,7.1,7.7,8.3,8.9,9.5,,,,,,,,,,,
Aston Martin,8.5,7.9,7.3,7.1,7.7,8.3,8.9,9.5,9.3,8.7,8.9,9.5,10.1,,,,,,,,,,,
Ferrari,27.1,27.4,27.1,27,27.3,27.6,27.9,28.2,28.5,28.8,29.1,29.4,29.7,,,,,,,,,,,
Haas F1 Team,7,7.6,8.2,8.8,9.4,10,10.6,10,9.8,9.6,10.2,10.8,11.4,,,,,,,,,,,
Kick Sauber,6.2,5.6,6.2,6,5.4,4.8,4.5,5.1,5.7,6.3,6.9,7.5,8.1,,,,,,,,,,,
McLaren,30,30.3,30.6,30.9,31.2,31.5,31.8,32.1,32.4,32.7,33,33.3,33.6,,,,,,,,,,,
Mercedes,22.7,23,23.3,23.6,23.9,24.2,24.5,24.8,24.7,24.4,24.7,25,25.3,,,,,,,,,,,
RB,8,7.4,8,8.6,9.2,9.8,10,10.6,11.2,11.8,12.4,13,12.4,,,,,,,,,,,
Red Bull Racing,25.2,25.1,25.4,25.7,26,26.3,26.6,26.9,27.2,27.5,27.8,27.9,28,,,,,,,,,,,
Williams,13.1,12.9,13.5,14.1,14.7,15.3,15.9,16.5,17.1,17.3,16.7,16.1,15.5,,,,,,,,,,,
