driver_number,last_name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24
23,Albon,17,11,8,15,10,19,18,4,-18,-16,-19,12,,,,,,,,,,,,
14,Alonso,-20,-16,4,5,7,-13,4,-16,14,22,12,4,,,,,,,,,,,,
12,Antonelli,32,29,23,14,15,11,-19,-2,-12,35,-18,-16,,,,,,,,,,,,
87,Bearman,2,20,4,22,5,-4,4,8,0,7,14,14,,,,,,,,,,,,
5,Bortoleto,-18,7,-2,4,3,-11,-2,3,4,5,25,-20,,,,,,,,,,,,
43,Colapinto,0,0,0,0,0,0,0,5,6,2,5,-20,,,,,,,,,,,,
7,Doohan,-20,11,6,2,1,-14,0,0,0,0,0,0,,,,,,,,,,,,
10,Gasly,1,-8,0,13,-17,18,3,-20,10,6,2,15,,,,,,,,,,,,
6,Hadjar,-20,11,8,5,8,0,6,12,16,1,6,-20,,,,,,,,,,,,
44,Hamilton,4,-1,11,38,14,32,25,19,14,15,22,24,,,,,,,,,,,,
27,Hulkenberg,20,2,1,-20,3,9,9,-2,32,15,20,45,,,,,,,,,,,,
30,Lawson,-17,22,-4,11,5,-14,3,7,9,-20,13,-18,,,,,,,,,,,,
16,Leclerc,12,-12,20,20,25,-8,24,37,27,17,25,2,,,,,,,,,,,,
4,Norris,59,41,27,32,36,55,31,45,28,-2,36,37,,,,,,,,,,,,
31,Ocon,8,24,1,15,6,7,-18,10,3,10,20,4,,,,,,,,,,,,
81,Piastri,10,45,24,45,38,58,31,23,45,22,39,38,,,,,,,,,,,,
63,Russell,25,35,18,31,16,30,15,3,21,47,22,8,,,,,,,,,,,,
55,Sainz,-19,8,4,-9,12,0,12,2,7,13,-20,-1,,,,,,,,,,,,
18,Stroll,16,17,2,7,1,25,-2,5,-20,2,9,22,,,,,,,,,,,,
22,Tsunoda,0,6,13,9,-17,33,9,-5,11,12,6,0,,,,,,,,,,,,
1,Verstappen,29,30,36,22,38,12,57,18,17,29,-15,21,,,,,,,,,,,,
