driver_number,last_name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24
23,Albon,12,12.6,12.8,13,12.8,12.6,12.8,13.4,13.6,,,,,,,,,,,,,,,
14,Alonso,8.8,8.2,7.6,7,6.4,6.2,5.6,5,4.5,,,,,,,,,,,,,,,
12,Antonelli,18.4,19,19.3,19.6,19.7,19.6,19.5,19.2,18.9,,,,,,,,,,,,,,,
87,Bearman,6.7,6.1,6.7,7.3,7.9,8.5,8.7,8.1,7.5,,,,,,,,,,,,,,,
5,Bortoleto,6,5.4,4.8,4.5,4.5,4.5,4.5,4.5,4.5,,,,,,,,,,,,,,,
43,Colapinto,0,0,0,0,0,0,4.5,4.5,4.5,,,,,,,,,,,,,,,
7,Doohan,7.2,6.6,6,5.4,5.6,5,4.5,0,0,,,,,,,,,,,,,,,
10,Gasly,11.8,11.2,10.6,10,9.4,8.8,8.2,7.6,7,,,,,,,,,,,,,,,
6,Hadjar,6.2,5.6,5,4.5,5.1,5.7,5.5,5.3,5.5,,,,,,,,,,,,,,,
44,Hamilton,24.2,23.9,23.6,23.3,23.2,23.3,23.6,23.7,23.8,,,,,,,,,,,,,,,
27,Hulkenberg,6.4,7,7.6,7.8,7.2,6.6,6,6.2,6,,,,,,,,,,,,,,,
30,Lawson,18,17.4,8.4,7.8,7.2,6.6,6,5.4,4.8,,,,,,,,,,,,,,,
16,Leclerc,25.9,25.6,25.3,25,24.7,24.6,24.3,24,23.9,,,,,,,,,,,,,,,
4,Norris,29,29.3,29.6,29.9,30,30.1,30.4,30.7,31,,,,,,,,,,,,,,,
31,Ocon,7.3,7.5,8.1,8.7,9.3,9.1,9.3,8.7,8.1,,,,,,,,,,,,,,,
81,Piastri,23,22.7,23,23.1,23.4,23.7,24,24.3,24.6,,,,,,,,,,,,,,,
63,Russell,21,21.1,21.4,21.7,22,22.1,22.2,22.3,22.2,,,,,,,,,,,,,,,
55,Sainz,13.1,12.5,11.9,11.3,10.7,10.1,9.5,9.3,8.7,,,,,,,,,,,,,,,
18,Stroll,8.1,8.7,9.3,9.9,9.7,9.1,9.7,9.5,9.7,,,,,,,,,,,,,,,
22,Tsunoda,9.6,9,16.8,16.6,16.4,15.8,15.2,14.6,14.4,,,,,,,,,,,,,,,
1,Verstappen,28.4,28.5,28.6,28.7,28.8,28.9,28.8,29.1,29.2,,,,,,,,,,,,,,,
